País,sexo,nivel_laboral,año,prom_ganancias,moneda,note_source.label
Austria,Sex: Total,Occupation (ISCO-08): Total,2014,15.93,Currency: AUT - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Sex: Total,Occupation (ISCO-08): 1. Managers,2014,34.6,Currency: AUT - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Sex: Total,Occupation (ISCO-08): 2. Professionals,2014,23.42,Currency: AUT - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Sex: Total,Occupation (ISCO-08): 3. Technicians and associate professionals,2014,18.65,Currency: AUT - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,2014,15.14,Currency: AUT - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,2014,11.23,Currency: AUT - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,2014,14.38,Currency: AUT - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Sex: Total,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",2014,14.02,Currency: AUT - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Sex: Total,Occupation (ISCO-08): 9. Elementary occupations,2014,10.7,Currency: AUT - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Sex: Male,Occupation (ISCO-08): Total,2014,17.55,Currency: AUT - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Sex: Male,Occupation (ISCO-08): 1. Managers,2014,36.86,Currency: AUT - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Austria,Sex: Male,Occupation (ISCO-08): 2. Professionals,2014,25.51,Currency: AUT - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
