País,sexo,nivel_laboral,año,prom_ganancias,moneda,note_source.label
Austria,Total,Total,2018,17.42,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
Austria,Total,Directores y gerentes,2018,36.58,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
Austria,Total,Profesionales científicos e intelectuales,2018,24.81,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
Austria,Total,Técnicos y profesionales de nivel medio,2018,19.93,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
Austria,Total,Personal de apoyo administrativo,2018,16.48,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
Austria,Total,Trabajadores de los servicios y vendedores de comercios y mercados,2018,12.29,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
Austria,Total,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2018,15.59,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
Austria,Total,Operadores de instalaciones y máquinas y ensambladores,2018,15.11,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
Austria,Total,Ocupaciones elementales,2018,11.66,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
Austria,Hombres,Total,2018,19.03,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
Austria,Hombres,Directores y gerentes,2018,39.18,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
Austria,Hombres,Profesionales científicos e intelectuales,2018,26.77,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
Austria,Hombres,Técnicos y profesionales de nivel medio,2018,21.46,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
Austria,Hombres,Personal de apoyo administrativo,2018,18.13,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
Austria,Hombres,Trabajadores de los servicios y vendedores de comercios y mercados,2018,13.05,Working time arrangement coverage: Full-time and part time workers | Currency: AUT - Euro (EUR),"Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
